0,1,2,3,4,5,6,7,8,9,10
4,617,40,603,290,373,22,614,335,371,19
2154,1533,507,444,95,310,1990,986,123,460,485
332,2159,134,243,263,38,305,1691,218,50,237
866,516,1935,184,876,515,363,3,919,317,454
900,189,2125,128,51,417,48,2161,39,156,18
558,131,1218,735,772,1230,1617,242,1200,1040,1148
1615,669,104,2050,1281,128,259,2049,1258,1646,2055
1401,2190,1825,787,927,352,866,932,3,939,943
2058,697,831,2214,2018,545,2091,3,519,2006,267
937,1168,732,287,406,350,263,243,38,807,445
1346,639,551,2222,900,731,83,1459,828,418,825
955,258,500,305,2230,1258,2229,1368,137,251,73
484,731,25,32,60,480,133,1426,2141,304,123
662,121,1348,177,546,2233,2227,1115,1132,175,44
1419,117,843,432,651,171,259,917,242,433,991
606,573,558,852,656,2203,1341,907,749,1026,1904
64,151,124,127,587,2238,23,611,1228,104,177
837,532,368,788,352,512,790,372,876,1485,2091
1607,2245,134,1004,44,419,1338,153,876,85,1867
1071,1068,711,2249,728,1472,349,113,237,740,78
87,428,84,183,1651,1298,392,1292,1308,1210,41
3,280,23,15,1216,497,1284,687,561,182,1280
68,517,541,533,872,1157,949,952,532,1524,300
1251,315,1629,15,369,600,719,723,420,116,153
1075,1145,1861,909,91,1889,849,1723,564,1063,1396
934,2290,1082,2294,1044,1396,2199,2295,1055,1048,1105
273,997,990,1576,1115,1536,2298,715,2297,1111,192
529,366,479,525,491,437,986,38,1232,288,85
491,916,110,531,68,3,545,406,541,267,741
101,1675,1450,736,1610,1608,76,61,1518,723,121
68,15,603,702,58,1257,1524,128,23,167,244
770,26,1011,650,741,538,2091,517,168,38,1301
1084,1085,128,167,23,662,51,67,9,109,1466
1868,180,79,555,836,86,1861,1242,1385,776,2127
244,978,1449,665,709,2071,737,774,738,778,2327
1198,878,2127,1250,1085,1066,1850,1655,1044,1094,1396
697,876,2215,869,516,380,1996,2330,2331,493,94
2332,214,720,1712,90,166,205,144,689,430,1071
207,464,2,116,64,814,1528,53,1492,264,112
2334,2071,1298,1154,664,1673,696,428,100,2336,2233
1216,86,1679,1505,1105,2340,517,342,2339,1015,2341
1316,585,1253,662,1769,8,578,608,721,14,45
1216,1229,1335,544,86,1993,1110,509,541,526,2058
335,484,2299,2267,176,474,328,303,686,900,514
246,1451,985,995,1456,945,121,1039,2121,1662,2347
545,2349,899,541,526,340,1524,1935,2057,2348,2271
994,964,96,478,2,414,797,726,1761,8,159
603,1216,909,340,1993,86,1505,578,1989,2171,1679
214,117,537,24,746,146,1993,1315,1267,1081,1082
208,203,916,1003,1753,2384,1839,1230,678,1092,837
1467,147,1456,41,1405,57,428,1272,52,1297,143
907,2399,1230,1797,2187,638,60,2163,2158,600,877
355,151,209,210,177,48,1228,1308,1466,964,256
767,775,864,119,856,1248,2401,619,531,8,40
86,189,213,1271,630,1072,264,243,1226,903,217
828,2435,1439,1200,2057,2158,2413,2335,493,360,1901
1916,447,1182,49,979,67,1106,945,381,2438,516
215,433,711,208,139,211,495,1285,122,587,517
1451,1061,547,411,464,719,299,1260,803,645,165
433,1158,1262,2453,627,984,559,486,428,209,204
1216,1131,609,15,104,1232,531,113,1523,578,603
192,200,185,1000,533,840,1300,1101,311,126,1248
1113,1003,762,843,1280,188,1693,2094,1145,386,541
171,1155,2489,71,354,836,2417,820,2473,1451,726
1165,599,269,1629,1433,692,1499,343,502,618,552
983,2497,987,1687,202,109,741,500,872,1105,2451
541,516,1254,178,1879,387,532,2210,2499,48,2214
807,2139,891,50,929,218,493,237,5,13,15
1153,792,19,1177,83,148,1745,1786,1338,561,683
242,523,916,397,194,416,1300,904,753,1168,1075
2018,1286,982,711,922,242,979,955,301,1011,226
1076,624,2223,633,1467,2041,1106,792,1336,1075,2436
1461,1506,609,885,669,44,434,48,124,719,127
1689,58,338,629,2524,1283,1921,1963,985,2300,1447
390,44,486,128,124,9,175,127,853,524,939
164,890,1629,527,335,20,521,120,113,103,27
911,896,132,160,738,630,1326,1029,662,968,905
291,273,334,43,500,134,350,445,243,223,2139
562,212,1446,1237,1588,2526,403,945,1039,1231,2527
3,516,541,1162,387,2241,860,452,267,603,86
1396,938,2165,431,1524,899,1453,1963,1236,578,548
1039,1111,140,171,2563,661,2486,602,1158,1676,1061
109,559,1569,532,1525,831,517,1485,310,1352,631
420,0,9,383,256,2602,342,2587,2599,2316,1254
134,40,515,597,5,84,315,15,600,791,316
317,866,899,427,243,38,807,1607,1935,837,2607
219,733,291,68,236,728,1231,1232,15,609,1278
1286,162,1466,244,280,96,92,174,115,662,2047
174,153,417,109,1847,115,547,2,1516,5,1451
147,1228,110,1693,1933,1568,2615,244,434,57,1092
1449,661,478,839,669,665,1240,559,2622,486,718
1846,69,354,3,273,68,406,38,279,50,237
1131,113,58,613,86,545,519,3,2599,2036,872
316,916,164,81,851,95,271,59,110,2633,625
316,179,1200,814,290,331,575,1084,587,647,193
514,852,573,656,60,1941,568,1341,1083,1316,907
216,2095,1534,726,721,571,1260,560,531,3,545
2667,349,499,340,1270,664,214,847,643,666,864
624,212,388,1230,2163,949,1887,3,43,1253,1450
59,1403,1185,180,792,280,456,1213,423,1230,690
771,1125,755,904,1070,40,1018,33,390,799,533
1357,1719,1341,1150,1710,555,1309,35,189,2313,1644
651,512,352,1855,516,790,184,231,869,718,9
795,1682,309,276,2512,2133,1845,2518,945,246,955
338,945,2300,1237,1451,121,1456,1450,1449,218,1662
736,2691,2721,2347,2710,2148,48,1620,2415,2719,2564
222,348,202,188,1145,432,1371,713,1112,767,975
179,0,87,38,716,315,1163,313,2494,289,609
1593,1230,1604,604,2740,1714,1949,1617,2738,1363,2739
60,629,1268,529,209,38,132,97,104,26,642
845,1260,1764,597,1495,1782,1852,2741,2396,739,1578
1184,1053,1189,1190,1209,1715,1057,1978,1326,1198,2164
531,1254,1643,751,522,837,178,2018,2091,406,270
97,2668,50,383,1182,280,376,39,525,479,506
244,259,128,2689,132,336,104,97,38,374,242
160,767,836,321,510,2066,63,54,794,1644,437
45,1941,37,632,741,1046,32,30,823,624,2145
65,1102,163,86,849,2143,66,575,1036,590,776
881,308,94,359,43,332,350,870,263,305,929
639,791,790,94,35,1181,331,783,34,2567,1708
500,800,350,2042,2250,891,445,307,493,218,929
862,44,60,375,1302,827,280,508,147,1109,526
1229,113,578,58,1993,1335,86,1736,1505,1679,1989
133,335,2255,601,1173,184,19,343,787,1219,1369
1459,20,732,177,336,1673,600,799,885,2593,1485
141,382,798,1454,134,221,1651,1755,357,1491,1647
786,1054,400,606,561,932,1367,1339,138,2235,738
15,2133,1528,907,1991,1008,1355,643,644,528,619
1240,336,217,629,486,714,1253,313,38,1546,95
84,524,85,52,109,147,353,437,499,2400,104
432,387,470,1887,675,545,73,287,837,1157,1854
2643,75,382,858,145,498,1333,437,1797,1138,2649
184,866,231,4,779,531,354,932,3,919,315
2091,1613,1592,61,2451,1105,1264,831,3,2400,2316
596,588,682,17,612,46,37,1046,1034,2183,1045
2077,450,1359,1327,915,2829,508,1401,703,2674,1329
140,1586,273,168,610,1230,196,413,1872,792,416
1241,1292,2233,611,2046,1675,167,684,434,1240,246
702,1989,113,132,467,209,662,96,124,714,44
1131,702,1712,533,113,1229,267,1335,764,860,544
2047,407,203,1563,845,1230,583,16,797,321,2334
4,508,936,2028,1846,932,1654,435,2154,938,315
930,2291,1385,878,1396,2199,1094,935,1084,476,2198
544,860,613,86,1993,993,1505,2171,1736,1989,1679
983,182,687,561,2406,486,321,2862,1331,51,324
686,1256,1365,537,252,20,551,189,703,814,1526
915,2683,1768,2794,801,1607,2866,935,1432,2837,2136
119,60,605,533,860,853,237,1106,754,40,171
488,481,1775,1481,56,856,1003,11,507,205,430
1011,104,236,113,68,58,853,544,860,891,534
929,218,831,1105,545,2091,173,1650,2316,999,1040
876,908,515,1030,454,501,1135,332,134,38,891
1172,894,474,73,910,878,60,23,167,244,979
58,1258,882,488,2411,343,374,1118,911,263,2378
2285,526,531,68,236,104,331,499,1712,267,226
511,419,691,1954,554,916,1139,894,73,390,1
1195,377,175,616,756,499,865,457,203,405,357
53,374,358,470,1528,331,1916,382,1243,2024,283
168,183,755,210,105,15,1023,273,547,52,1049
273,1135,860,1387,94,43,134,38,897,898,672
526,790,237,387,3,519,853,340,1171,952,1244
1075,89,1188,635,97,128,1467,10,26,2033,2917
856,2214,2018,2036,2243,1712,2006,541,380,2599,2498
218,50,40,1814,1815,1505,1818,1141,1819,1816,1679
20,1289,1075,1411,639,690,647,1757,466,874,825
1737,721,18,167,48,39,383,149,280,123,1400
904,572,177,1168,1098,559,87,518,926,482,2067
273,460,637,1907,2522,2474,2604,2759,1031,373,95
215,237,664,277,151,214,144,62,720,711,1018
647,737,575,438,382,771,650,1419,1004,1126,207
2474,2126,893,1286,1891,363,2345,685,1577,1233,2714
2088,1485,831,491,1356,982,417,1240,167,256,453
18,151,922,795,417,129,39,538,280,156,251
433,255,979,1677,156,151,122,2252,93,62,145
839,1443,534,372,1485,1715,1203,1166,2566,9,499
84,116,405,1344,547,22,527,13,273,168,642
392,19,1185,625,259,669,434,244,770,67,1195
1534,985,629,1253,1583,1582,1561,905,343,883,1769
4,1359,1301,1403,40,164,1165,15,596,608,741
256,328,716,244,1228,1098,381,542,1049,26,763
212,1041,406,433,117,264,993,519,431,533,949
741,368,788,352,790,866,69,363,919,2237,291
15,113,519,226,702,58,1521,1216,86,1505,526
156,264,90,145,117,150,110,240,1213,255,545
160,2175,130,531,1105,1690,787,810,793,521,287
134,51,355,2569,2133,256,1979,336,2942,1958,2308
212,374,209,2357,594,1535,600,2467,1111,948,545
211,949,512,666,856,997,1674,86,1209,1103,1184
160,753,130,630,1101,2435,2654,641,65,126,767
416,753,104,2635,134,176,4,20,521,179,335
1071,44,127,64,1109,186,711,210,92,139,763
1348,59,1419,693,540,517,44,129,921,831,545
1350,2294,1044,1094,878,1085,2165,1169,2811,2199,1055
1697,878,2888,1957,2205,1850,1044,1067,1363,930,2409
656,573,767,636,1341,808,1316,1083,569,1040,1026
586,189,896,155,251,603,420,669,244,51,167
132,735,2350,644,625,1156,157,535,319,775,29
174,645,221,5,547,1528,409,82,1106,723,437
1586,10,414,585,199,48,547,283,45,184,280
1712,431,1540,1643,531,2324,533,1621,1033,1105,1109
423,941,2320,558,604,1406,1218,1081,1275,1363,1082
471,1665,936,92,1528,2774,311,837,1525,315,2141
661,128,545,406,2241,173,872,533,145,831,517
2223,577,1016,1105,237,486,210,467,982,242,136
486,0,861,1466,882,155,542,504,509,376,916
68,237,195,1041,264,188,58,125,2502,1063,1057
1014,215,216,728,199,748,213,44,209,211,586
1301,273,587,391,1660,646,112,308,81,1393,200
1232,1231,1131,603,113,379,226,58,463,416,764
504,148,417,283,60,62,132,97,733,189,113
2974,2744,2781,2364,2387,2963,2966,2390,2296,1733,2642
904,1506,1528,2292,122,1336,1088,1075,753,1072,1073
1663,1518,585,696,755,15,1310,1297,547,865,642
2051,1105,2582,1244,2984,609,104,1278,1131,237,15
1039,90,277,1672,404,2144,79,2353,1202,1192,91
880,44,1078,92,21,669,58,1259,60,264,48
531,851,1140,697,790,2028,1030,935,898,218,929
519,175,1158,517,3,1106,189,470,45,38,164
264,198,124,44,127,531,48,461,904,160,522
53,281,444,27,1648,103,164,510,1590,371,499
432,150,590,148,264,1069,1482,903,188,211,62
99,208,192,740,93,139,643,970,1068,90,1470
110,552,745,814,504,412,769,729,1256,88,1194
565,140,1059,2431,41,1462,593,353,792,2309,761
60,775,512,599,954,1259,683,1063,1241,2727,104
38,330,1150,1466,482,132,545,2995,3000,732,499
686,871,2504,4,745,828,400,89,1135,983,474
467,1253,336,128,486,1158,1011,529,85,51,922
1208,1130,594,2467,188,1179,584,1155,1162,1982,790
1033,1755,365,530,145,1690,1864,68,237,499,349
1232,331,1,1523,1131,113,1613,416,1989,764,86
206,1465,105,743,9,756,306,597,217,84,546
146,193,1439,137,903,647,126,157,118,79,72
703,1180,810,1398,2891,1333,1203,181,744,1088,1357
1499,711,168,1050,2560,617,2091,514,231,1650,1657
625,1304,260,369,1403,730,138,379,274,405,342
1231,1445,945,218,1249,955,1014,1009,882,2928,1554
426,1669,388,389,1125,1617,1053,25,1827,1363,1607
196,529,1137,324,835,352,506,171,730,0,26
128,1704,1651,280,1470,84,637,2425,15,151,374
1203,1373,1385,1772,1137,1094,2136,2541,1029,943,1858
6,1468,437,57,547,171,1979,19,156,208,175
405,2288,531,2062,2275,2240,547,244,173,1386,532
186,1873,86,113,58,541,244,127,44,124,151
1024,2011,111,770,631,867,1163,18,478,1887,1727
531,15,728,1712,226,909,113,58,603,860,68
795,116,322,164,2237,2347,1584,958,305,1234,34
1921,1583,1628,1582,848,728,1712,86,531,1278,660
641,86,555,1903,558,984,2026,738,1133,1209,1837
42,41,44,206,175,559,633,585,2131,420,96
273,345,939,1387,425,311,2039,134,279,2250,305
558,3040,1357,763,1652,1414,677,726,708,1566,1069
349,406,1131,531,113,609,416,1712,267,533,1335
919,65,2135,69,2333,897,73,307,1971,2566,127
845,597,199,505,104,565,392,637,1515,84,171
420,726,2049,453,115,982,2,303,1794,437,153
923,389,635,419,1575,600,321,629,44,60,643
1874,1415,866,1333,1858,888,1402,1137,531,69,3
264,1631,769,1121,335,970,89,2368,24,534,757
2601,1263,1880,795,2628,2522,1120,1235,3046,1484,2210
69,849,836,287,1209,1184,1013,1066,2652,1385,2290
1147,2056,2242,1634,768,1542,693,2091,405,532,1597
541,544,1524,1308,1824,2227,1608,2687,1092,1253,7
999,2805,2774,795,1292,1115,1298,765,955,2463,850
85,922,132,281,104,766,2769,259,2343,1011,955
1454,514,771,725,1744,1050,579,323,1051,780,1513
481,471,118,2771,2037,675,91,1266,1333,870,305
2011,770,206,1529,177,194,63,213,1476,1188,2094
1094,2020,1724,1326,1250,626,1719,991,1095,376,966
514,538,743,714,663,767,1209,2501,23,1439,96
34,870,267,1613,2025,677,545,1574,664,2829,517
2126,156,765,285,865,893,792,412,2322,1526,2125
33,2208,1546,385,537,390,588,335,1313,264,400
15,113,519,533,58,613,546,497,43,272,209
432,676,155,605,107,628,858,160,558,808,1101
571,1181,993,653,1322,4,900,202,400,574,3085
800,134,38,1691,2250,672,50,891,929,237,218
553,128,381,1586,1106,2982,831,411,1633,1023,280
1906,475,123,896,827,1059,1049,695,704,1393,484
244,143,565,383,21,280,1862,151,1272,49,631
406,1468,1704,416,775,1693,1699,2946,160,3011,1088
188,1385,263,837,1155,144,2011,2502,567,1580,916
630,287,619,852,993,237,43,97,78,433,145
300,146,1075,296,2116,975,311,68,1879,387,1523
3093,1085,1762,3094,1994,2199,1125,914,2294,1968,3092
945,244,711,246,229,922,128,38,531,68,349
250,38,2039,263,897,1691,2139,279,237,1097,218
843,1842,216,801,893,1111,60,470,324,405,342
1175,98,2353,2642,2651,2180,889,733,954,884,2135
1932,1904,622,1054,835,651,1825,2193,895,33,1086
514,1240,218,236,23,1675,2490,153,718,611,115
783,847,856,1290,251,104,368,862,788,352,927
23,12,50,151,546,428,609,39,149,1586,5
237,452,1,1613,463,533,1485,1105,2051,173,1244
272,148,495,156,189,155,431,237,1879,837,532
58,452,178,578,267,909,860,2279,1771,86,270
1366,500,2159,350,2036,134,305,891,226,499,1061
1442,640,880,2274,1685,937,875,1404,1396,128,38
201,1015,558,1617,610,1507,2122,203,394,845,413
428,115,2299,116,110,1651,174,229,1418,153,2066
993,20,312,93,148,438,1523,1254,1263,1929,1011
566,332,713,703,522,1737,83,874,1431,690,1359
897,891,50,218,237,517,999,293,533,1712,526
43,291,324,896,316,2896,1109,716,172,170,756
837,1162,564,936,1326,1057,1841,2164,387,2184,533
277,741,5,209,92,151,714,97,210,132,246
486,51,128,246,111,922,242,255,1285,921,896
292,229,48,366,1557,1568,139,68,1023,1405,41
1233,1054,1046,835,2670,662,968,716,246,1461,1253
1466,153,147,1228,326,1106,1476,110,792,194,2122
50,377,40,129,97,1011,939,256,20,524,164
858,382,424,426,412,207,2049,583,386,1516,581
695,356,567,918,815,871,189,676,715,609,331
220,1270,1008,211,1015,702,615,999,1003,155,1000
1105,1137,866,19,355,1372,74,175,2419,357,1311
184,515,317,2153,338,38,305,872,50,237,5
393,3099,199,3100,1824,215,208,845,2948,128,78
497,22,128,186,43,209,317,217,545,1503,1613
373,182,1011,565,1499,44,124,662,743,714,217
754,656,1158,1126,1535,273,948,5,1098,428,547
730,642,1662,2372,142,2362,747,1304,646,1403,643
405,68,349,3,1613,999,1640,1712,267,2452,541
2180,336,1237,364,1111,2386,1993,1977,1175,1819,1734
196,1230,834,1092,1835,872,267,2303,2092,964,67
1056,1199,2510,0,1405,839,50,1163,831,525,979
499,1061,3116,104,315,2269,275,1942,2569,2483,2452
117,148,94,202,146,909,843,2634,125,837,1173
290,104,184,1200,20,134,164,221,1256,40,179
793,738,1054,690,1311,1211,983,197,522,561,937
104,2269,206,547,770,22,13,50,1061,623,797
1262,328,922,78,921,982,523,1928,824,911,2099
1124,1387,923,311,332,350,38,1691,429,929,50
535,67,259,97,104,132,38,315,51,92,280
125,137,488,1967,56,1520,1850,3120,815,1381,52
431,1263,1887,2064,1254,837,1157,2285,872,532,1882
2285,949,405,1487,831,1371,263,10,45,26,210
376,538,2629,226,550,438,317,352,790,1523,1557
151,85,504,734,1865,1395,2659,453,2125,1532,3001
168,255,264,1262,1234,90,26,1313,814,433,1408
244,246,669,336,136,111,101,979,982,59,316
1423,156,2702,2774,205,1449,1224,1983,88,1033,2222
1666,60,1472,2581,2088,825,536,2055,1439,2343,498
138,676,788,1856,446,688,1309,274,512,692,1346
682,1538,1367,335,738,1084,587,3128,680,545,1929
517,466,831,1792,1105,2451,61,2214,173,2316,201
4,30,390,606,16,1045,566,783,1,573,323
1260,325,911,251,305,474,971,73,1240,218,23
765,64,26,168,1049,1111,1185,112,1018,643,2633
305,1097,218,7,209,1158,374,431,1115,559,246
531,243,1027,40,10,8,1862,218,467,588,1076
69,167,128,174,40,123,41,1963,38,242,132
69,932,919,317,519,923,880,134,38,50,237
797,585,1987,798,381,9,531,40,323,741,609
210,117,146,688,876,1142,931,883,1831,1712,533
933,790,876,949,4,559,246,155,1241,1008,758
134,305,915,445,243,1691,672,50,891,218,237
3137,2304,231,1952,2549,3131,761,885,1023,505,881
200,1173,1423,1998,622,1365,220,597,633,177,335
836,118,73,133,575,1381,569,1850,878,1084,1169
113,14,1005,1131,58,702,603,533,86,1216,1333
153,116,5,109,221,414,464,1423,1194,264,166
47,128,105,2241,2239,2323,2454,2062,86,58,276
1749,576,1595,818,400,144,1150,166,1345,1384,858
97,210,5,217,151,719,27,67,128,698,84
572,1427,1335,1436,118,1685,1680,1366,2828,1333,875
400,471,690,398,880,1407,1335,875,1680,1333,1067
1769,535,1046,609,588,40,531,4,2585,549,1120
441,3011,157,590,1274,197,180,2545,2127,1381,733
1996,860,86,564,359,1209,1655,1723,1103,1057,1326
236,1545,124,147,1539,861,1466,714,64,1476,1472
1475,326,281,1650,43,531,892,519,2328,832,2138
1528,1592,1333,3,68,541,267,751,860,517,1846
222,1868,125,134,176,171,316,1256,729,1181,900
1664,975,128,381,661,244,264,194,210,127,151
531,672,2051,1240,105,71,262,831,1485,2091,517
495,647,1018,835,1953,661,420,167,159,719,547
677,1641,171,792,1645,321,1232,728,1131,415,14
623,431,1559,582,2126,1130,2525,394,763,1383,741
693,505,1584,206,29,939,321,236,1131,1459,452
45,37,46,17,650,26,8,588,2286,1046,531
881,800,332,898,897,134,870,350,891,929,499
1005,868,1570,1536,1229,964,1111,946,885,1576,603
77,149,206,218,431,392,390,209,101,15,1210
13,239,515,2227,312,453,182,337,176,369,406
511,2470,356,454,163,590,1930,1654,2078,1385,2197
863,560,960,2133,111,338,770,223,1650,293,1887
941,1211,1230,1034,675,979,922,2344,488,836,1611
1448,104,1278,766,1195,502,1454,199,565,392,1503
1272,78,210,204,1149,90,62,523,264,567,195
123,439,479,460,3156,305,265,1577,52,188,2427
1712,1110,780,533,86,480,1810,1216,764,2396,2296
3,68,881,923,880,2039,870,38,134,305,891
198,1185,733,335,1929,176,1303,424,534,1176,1433
136,1195,434,985,829,111,336,135,1282,226,2109
1150,2226,288,812,571,1613,966,743,62,1865,340
352,735,566,401,1211,1797,699,1066,1600,2466,1108
55,682,247,741,239,1276,417,312,1,132,1289
1128,38,2627,958,283,184,2417,220,104,2701,44
611,839,718,122,326,147,239,48,110,44,708
711,587,5,428,64,1038,399,23,236,167,317
1503,221,1260,115,437,112,23,110,827,1838,92
217,1253,1503,770,633,104,174,665,12,1235,1963
388,680,32,632,1045,25,1,11,578,1575,2183
641,1248,879,754,1053,555,564,775,1724,1189,1655
546,172,529,366,128,167,244,2039,1626,1237,1166
719,1518,648,1623,37,608,632,1575,1460,679,237
617,797,499,349,885,1712,236,2521,283,15,92
756,600,771,203,1476,698,426,413,710,1351,2535
582,689,568,747,739,2283,1028,569,434,669,2016
1840,1275,1658,1250,2436,2293,1861,1696,1082,1396,1048
469,2659,539,116,221,40,453,337,326,123,1106
792,27,312,156,59,2540,52,242,78,741,200
1887,1524,387,872,1935,2241,526,2282,3,541,522
2570,443,214,140,1308,1502,1454,698,201,216,1529
1360,1980,1063,1055,1692,1740,2319,1337,1957,1358,2587
38,531,141,206,1228,662,217,939,1352,168,116
287,881,860,923,43,332,1162,305,807,929,132
290,203,22,698,637,116,20,601,1236,392,865
95,116,491,1528,176,2474,500,1033,4,444,2469
732,38,305,342,797,2093,335,22,1566,558,657
44,60,555,714,209,124,611,994,217,740,468
2003,1466,127,124,206,1241,611,535,7,167,0
37,680,25,585,1174,113,86,1054,556,895,2538
184,356,405,1308,84,642,124,110,461,171,64
372,515,508,908,354,69,363,941,1030,317,2057
255,1528,90,120,979,148,263,361,1043,819,382
66,836,73,86,1088,564,1192,929,1084,1063,569
505,116,40,4,1367,1613,860,335,352,160,662
1075,687,561,699,1453,629,2047,1639,2071,1465,1491
145,273,131,517,2210,678,591,26,842,19,673
424,737,715,792,692,1280,1744,2416,2415,597,661
1327,81,1546,773,2616,465,1286,1999,308,695,1059
381,49,783,1021,1314,749,1904,1932,1094,517,1672
1993,1505,2339,1735,1806,1679,1812,2359,2358,321,1231
5,89,565,810,63,167,0,23,128,48,280
121,58,1044,208,215,199,203,610,1563,194,400
121,1450,1249,218,1662,1039,1014,955,945,882,2167
1476,608,409,534,1344,792,766,537,1570,642,176
1691,305,243,445,891,50,872,2280,929,429,237
535,469,109,661,88,105,597,244,2902,377,2702
831,68,97,134,229,1061,116,1673,2503,672,1669
1972,2135,1227,2392,1920,897,1966,1421,2097,1688,2132
390,671,33,612,1523,207,1341,1020,1086,2184,1029
294,425,1694,43,500,2159,134,2039,305,891,929
1831,1258,894,2015,848,850,251,137,58,968,1368
419,1475,1297,829,459,363,611,793,754,124,1221
664,758,26,1241,322,740,62,1014,643,189,1270
1298,258,297,1558,156,741,1940,1106,1492,243,238
929,1057,878,1326,1063,1215,1678,1695,1978,1053,349
283,435,124,315,412,2438,1312,1528,3,2866,1218
1460,69,350,38,2036,263,684,1913,266,2807,1900
1521,241,175,381,608,168,741,50,803,40,412
629,1738,925,894,251,58,2014,2411,1723,1098,865
321,136,1158,1268,210,121,1503,204,662,2264,1239
666,858,605,970,251,767,2556,840,160,737,762
208,1022,113,189,702,586,713,62,214,277,1280
1945,2861,2846,929,1350,2319,1717,1432,2872,1399,1851
1185,209,1158,104,1278,226,609,68,1131,113,3192
433,689,62,264,1693,2174,1069,711,255,110,68
1344,1210,7,22,1301,351,2222,2604,334,104,788
900,2842,63,315,149,569,1260,290,726,483,2320
1241,38,529,236,383,766,1158,1537,1297,366,560
142,1466,1262,1098,964,547,183,1533,950,1182,1070
999,2056,956,2454,532,445,860,745,2331,625,883
642,622,754,678,606,1941,60,591,767,558,551
83,1580,515,737,1570,534,847,1276,691,692,792
1545,719,92,611,546,1070,1895,461,792,1838,1847
273,939,51,425,923,311,1691,445,305,50,218
1,1034,1341,2203,1035,1683,1020,855,155,2844,2622
48,92,1466,1532,174,2474,525,696,153,2891,435
127,2238,204,741,851,2202,655,643,587,1041,189
608,46,4,582,682,670,1046,30,1016,1000,1316
124,44,174,440,92,994,542,43,280,376,1285
520,439,704,156,732,567,412,470,117,274,123
113,885,909,1181,480,463,86,1333,349,499,58
1777,1417,2639,1164,3183,343,1211,850,419,1009,1368
1844,218,643,884,851,204,212,655,646,113,201
